epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,137.049,1.81837,3.47351,0.00957,0.01691,0.50605,0.05282,0.02385,1.51382,3.43811,0.01154,0.000330065,0.000330065,0.0673235
2,275.381,1.77399,2.81939,0.00875,0.46964,0.12709,0.09517,0.03997,1.54268,2.55358,0.01166,0.000619614,0.000619614,0.0342797
3,401.721,1.72245,2.6636,0.00879,0.36666,0.20865,0.1609,0.07641,1.50551,2.40511,0.01117,0.000865163,0.000865163,0.00119196
4,526.748,1.71148,2.55984,0.00854,0.4936,0.19617,0.17371,0.07367,1.51764,2.29382,0.01113,0.000802,0.000802,0.000802
5,690.297,1.67762,2.43029,0.00828,0.4853,0.24096,0.17822,0.08637,1.51037,2.18323,0.01135,0.000736,0.000736,0.000736
6,822.517,1.61284,2.46503,0.00913,0.47927,0.21362,0.17997,0.08449,1.46861,2.2537,0.01098,0.00067,0.00067,0.00067
7,951.813,1.60694,2.35631,0.00882,0.48073,0.27121,0.20773,0.09648,1.48839,2.13475,0.01102,0.000604,0.000604,0.000604
8,1087.53,1.5914,2.29727,0.00893,0.38126,0.27514,0.21618,0.09892,1.46123,2.10597,0.01092,0.000538,0.000538,0.000538
9,1222.17,1.59586,2.21759,0.00887,0.36856,0.30387,0.22296,0.10839,1.50071,2.03254,0.01133,0.000472,0.000472,0.000472
10,1359.93,1.60049,2.13619,0.00888,0.3743,0.3498,0.2453,0.1197,1.48545,1.9747,0.01116,0.000406,0.000406,0.000406
11,1494.98,1.60856,2.08773,0.00897,0.40102,0.35591,0.28554,0.14044,1.50315,1.93892,0.0114,0.00034,0.00034,0.00034
12,1628.77,1.60043,2.05428,0.00886,0.38845,0.38553,0.29255,0.14536,1.49117,1.91635,0.01131,0.000274,0.000274,0.000274
